,Open time,Date,Open,High,Low,Close,Volume
1077,1530360540000,2018-06-30_12:09:00,6405.0,6466.75,6323.93,6360.04,6359.476569000006
1078,1530374940000,2018-06-30_16:09:00,6362.46,6376.15,6301.01,6325.51,4758.108067999998
1079,1530389340000,2018-06-30_20:09:00,6323.31,6440.0,6323.05,6427.17,4542.1342120000045
1080,1530403740000,2018-07-01_00:09:00,6419.03,6441.06,6315.0,6352.02,4005.3787850000026
1081,1530418140000,2018-07-01_04:09:00,6351.04,6410.0,6341.43,6369.97,4202.676194999997
1082,1530432540000,2018-07-01_08:09:00,6368.04,6398.92,6330.0,6380.8,3592.3507860000004
1083,1530446940000,2018-07-01_12:09:00,6380.53,6384.66,6251.0,6309.92,5450.884141000001
1084,1530461340000,2018-07-01_16:09:00,6317.67,6347.14,6299.96,6320.82,4456.570842000002
1085,1530475740000,2018-07-01_20:09:00,6322.32,6429.99,6317.87,6349.4,5661.163039999997
1086,1530490140000,2018-07-02_00:09:00,6341.55,6369.0,6298.57,6337.08,3431.120453000002
1087,1530504540000,2018-07-02_04:09:00,6336.0,6381.33,6271.62,6364.0,5174.997959000001
1088,1530518940000,2018-07-02_08:09:00,6370.19,6374.0,6315.27,6345.55,3910.184215
1089,1530533340000,2018-07-02_12:09:00,6346.58,6679.71,6325.88,6635.01,12854.834936999996
1090,1530547740000,2018-07-02_16:09:00,6634.85,6685.0,6586.75,6633.8,6687.113500999998
1091,1530562140000,2018-07-02_20:09:00,6629.99,6665.0,6599.05,6611.97,4206.664274000001
1092,1530576540000,2018-07-03_00:09:00,6608.67,6670.0,6596.31,6642.22,4854.5524350000005
1093,1530590940000,2018-07-03_04:09:00,6640.01,6679.35,6609.84,6640.0,4765.3461149999985
1094,1530605340000,2018-07-03_08:09:00,6644.9,6645.0,6519.99,6568.61,8565.003114999998
1095,1530619740000,2018-07-03_12:09:00,6570.01,6599.0,6545.02,6587.99,5444.479394000004
1096,1530634140000,2018-07-03_16:09:00,6582.67,6655.0,6529.0,6624.79,5663.46211
1097,1530648540000,2018-07-03_20:09:00,6615.05,6629.39,6463.01,6509.95,9422.431242000011
1098,1530662940000,2018-07-04_00:09:00,6513.01,6600.0,6441.11,6528.0,5050.204965000005
1099,1530704760000,2018-07-04_11:46:00,6527.99,6784.92,6523.0,6680.0,8051.232772000003
1100,1530719160000,2018-07-04_15:46:00,6679.91,6706.99,6632.0,6670.68,5077.730622999995
1101,1530733560000,2018-07-04_19:46:00,6672.08,6697.96,6555.0,6578.8,4861.710981999999
1102,1530747960000,2018-07-04_23:46:00,6570.32,6712.0,6510.0,6623.97,5682.951839
1103,1530762360000,2018-07-05_03:46:00,6625.03,6667.1,6560.0,6609.87,4546.643180000001
1104,1530776760000,2018-07-05_07:46:00,6610.01,6689.0,6551.0,6632.35,5523.9973370000025
1105,1530791160000,2018-07-05_11:46:00,6633.0,6673.79,6530.28,6603.39,7330.993408999999
1106,1530805560000,2018-07-05_15:46:00,6600.0,6639.97,6453.33,6495.99,7089.825632
1107,1530819960000,2018-07-05_19:46:00,6498.99,6563.76,6476.99,6538.59,4937.88054
1108,1530834360000,2018-07-05_23:46:00,6538.59,6553.0,6511.0,6529.0,4069.1494080000034
1109,1530848760000,2018-07-06_03:46:00,6531.01,6534.28,6425.0,6487.2,5765.517506999997
1110,1530863160000,2018-07-06_07:46:00,6479.49,6548.0,6456.0,6529.97,5405.525829000002
1111,1530877560000,2018-07-06_11:46:00,6531.0,6648.54,6525.0,6567.6,5546.564341999999
1112,1530891960000,2018-07-06_15:46:00,6567.01,6629.0,6512.46,6570.07,4720.005297000004
1113,1530906360000,2018-07-06_19:46:00,6570.14,6630.0,6555.0,6606.49,3768.3319630000005
1114,1530920760000,2018-07-06_23:46:00,6598.31,6617.0,6561.01,6596.12,3383.688725999999
1115,1530935160000,2018-07-07_03:46:00,6597.81,6618.8,6561.01,6588.0,2726.589525000001
1116,1530949560000,2018-07-07_07:46:00,6586.97,6592.07,6555.0,6578.27,3521.1673410000017
1117,1530963960000,2018-07-07_11:46:00,6578.27,6614.0,6511.44,6548.28,4370.559302000002
1118,1530978360000,2018-07-07_15:46:00,6546.0,6573.94,6525.01,6542.01,3313.7294010000023
1119,1530992760000,2018-07-07_19:46:00,6549.99,6818.16,6508.88,6757.87,6231.210053
1120,1531007160000,2018-07-07_23:46:00,6764.0,6789.0,6720.02,6726.12,5685.202750000002
1121,1531021560000,2018-07-08_03:46:00,6726.01,6741.18,6708.0,6734.25,3158.9592310000003
1122,1531035960000,2018-07-08_07:46:00,6734.25,6745.49,6717.01,6733.17,3817.3217100000024
1123,1531050360000,2018-07-08_11:46:00,6733.33,6778.73,6711.0,6744.51,4506.124104000001
1124,1531064760000,2018-07-08_15:46:00,6751.01,6770.0,6739.02,6767.39,3082.428403999999
1125,1531079160000,2018-07-08_19:46:00,6767.66,6774.85,6667.44,6710.39,4881.493890999999
1126,1531093560000,2018-07-08_23:46:00,6705.37,6729.18,6677.31,6718.02,4034.141835999999
1127,1531107960000,2018-07-09_03:46:00,6717.05,6735.43,6682.0,6730.81,3423.541853000002
1128,1531122360000,2018-07-09_07:46:00,6734.1,6752.62,6657.02,6720.95,4734.872653999999
1129,1531136760000,2018-07-09_11:46:00,6719.5,6745.0,6696.99,6723.01,4087.7624620000033
1130,1531151160000,2018-07-09_15:46:00,6728.14,6728.15,6660.0,6708.01,4230.012974
1131,1531165560000,2018-07-09_19:46:00,6707.03,6802.06,6612.24,6659.47,6279.3421260000005
1132,1531179960000,2018-07-09_23:46:00,6655.92,6681.0,6606.11,6636.67,5032.9946850000015
1133,1531194360000,2018-07-10_03:46:00,6634.65,6655.46,6544.04,6590.03,4844.982405000005
1134,1531208760000,2018-07-10_07:46:00,6586.96,6617.0,6327.0,6345.72,10978.255999000003
1135,1531223160000,2018-07-10_11:46:00,6355.02,6403.83,6325.99,6384.01,8198.634554000007
1136,1531237560000,2018-07-10_15:46:00,6382.9,6413.97,6334.56,6370.97,4683.879373000001
1137,1531251960000,2018-07-10_19:46:00,6370.51,6404.77,6263.0,6306.01,4674.516065999998
1138,1531266360000,2018-07-10_23:46:00,6302.02,6400.0,6278.99,6338.88,5974.9118729999955
1139,1531280760000,2018-07-11_03:46:00,6348.85,6360.0,6280.0,6347.08,5683.443307000002
1140,1531295160000,2018-07-11_07:46:00,6345.83,6406.0,6315.01,6383.0,5461.045341999999
1141,1531309560000,2018-07-11_11:46:00,6383.01,6391.91,6340.0,6360.0,4398.649540000001
1142,1531323960000,2018-07-11_15:46:00,6361.97,6364.5,6282.83,6319.92,3909.895339999999
1143,1531338360000,2018-07-11_19:46:00,6326.69,6378.12,6317.8,6368.67,3512.5437549999983
1144,1531352760000,2018-07-11_23:46:00,6367.9,6381.08,6300.18,6335.0,3540.578213
1145,1531367160000,2018-07-12_03:46:00,6335.0,6344.44,6141.11,6170.0,8197.109967
1146,1531381560000,2018-07-12_07:46:00,6164.27,6209.0,6135.0,6146.82,5762.775466000002
1147,1531395960000,2018-07-12_11:46:00,6147.36,6198.36,6141.11,6165.37,4040.3960060000004
1148,1531410360000,2018-07-12_15:46:00,6167.96,6193.41,6154.82,6166.09,3735.201593000002
